problem,configuration,status,failure_phase,failure_reason,translation_seconds,search_seconds,planner_seconds,plan_length,log_path,plan_path
hard_01,astar_add,failed,search,time limit,13.795,,1814.16,,problem_outputs/astar_add/hard_01_log.txt,
hard_02,astar_add,failed,search,time limit,72.864,,1873.49,,problem_outputs/astar_add/hard_02_log.txt,
hard_03,astar_add,solved,,,42.12,443.456718,488.25,52,problem_outputs/astar_add/hard_03_log.txt,problem_outputs/astar_add/hard_03_plan
large_01,astar_add,solved,,,5.641,0.003001,6.08,12,problem_outputs/astar_add/large_01_log.txt,problem_outputs/astar_add/large_01_plan
large_02,astar_add,solved,,,49.96,36.665362,88.68,26,problem_outputs/astar_add/large_02_log.txt,problem_outputs/astar_add/large_02_plan
large_03,astar_add,solved,,,347.289,5.512814,371.28,15,problem_outputs/astar_add/large_03_log.txt,problem_outputs/astar_add/large_03_plan
large_04,astar_add,solved,,,286.97,76.46668,379.31,31,problem_outputs/astar_add/large_04_log.txt,problem_outputs/astar_add/large_04_plan
large_05,astar_add,solved,,,308.622,395.830718,720.56,72,problem_outputs/astar_add/large_05_log.txt,problem_outputs/astar_add/large_05_plan
large_06,astar_add,solved,,,64.984,351.59271,419.9,25,problem_outputs/astar_add/large_06_log.txt,problem_outputs/astar_add/large_06_plan
large_07,astar_add,failed,search,time limit,249.072,,2050.28,,problem_outputs/astar_add/large_07_log.txt,
large_08,astar_add,failed,search,time limit,39.111,,1839.6,,problem_outputs/astar_add/large_08_log.txt,
large_09,astar_add,failed,search,time limit,71.627,,1872.27,,problem_outputs/astar_add/large_09_log.txt,
large_10,astar_add,solved,,,21.424,8.312754,31.11,17,problem_outputs/astar_add/large_10_log.txt,problem_outputs/astar_add/large_10_plan
small_01,astar_add,solved,,,2.135,0.001,2.53,10,problem_outputs/astar_add/small_01_log.txt,problem_outputs/astar_add/small_01_plan
small_02,astar_add,solved,,,18.189,7.91962,27.04,48,problem_outputs/astar_add/small_02_log.txt,problem_outputs/astar_add/small_02_plan
small_03,astar_add,solved,,,135.297,1.254885,143.55,13,problem_outputs/astar_add/small_03_log.txt,problem_outputs/astar_add/small_03_plan
small_04,astar_add,solved,,,112.08,5.905572,123.8,25,problem_outputs/astar_add/small_04_log.txt,problem_outputs/astar_add/small_04_plan
small_05,astar_add,solved,,,91.235,24.864714,121.01,54,problem_outputs/astar_add/small_05_log.txt,problem_outputs/astar_add/small_05_plan
small_06,astar_add,solved,,,29.455,45.170173,76.24,21,problem_outputs/astar_add/small_06_log.txt,problem_outputs/astar_add/small_06_plan
small_07,astar_add,failed,search,time limit,114.145,,1914.82,,problem_outputs/astar_add/small_07_log.txt,
small_08,astar_add,solved,,,22.887,1569.424817,1593.88,29,problem_outputs/astar_add/small_08_log.txt,problem_outputs/astar_add/small_08_plan
small_09,astar_add,failed,search,time limit,32.314,,1832.79,,problem_outputs/astar_add/small_09_log.txt,
small_10,astar_add,solved,,,11.379,0.598973,12.93,12,problem_outputs/astar_add/small_10_log.txt,problem_outputs/astar_add/small_10_plan
hard_01,astar_blind,failed,search,time limit,13.867,,1814.41,,problem_outputs/astar_blind/hard_01_log.txt,
hard_02,astar_blind,failed,search,time limit,72.226,,1872.85,,problem_outputs/astar_blind/hard_02_log.txt,
hard_03,astar_blind,failed,search,time limit,42.783,,1843.25,,problem_outputs/astar_blind/hard_03_log.txt,
large_01,astar_blind,solved,,,5.725,0.005,6.15,12,problem_outputs/astar_blind/large_01_log.txt,problem_outputs/astar_blind/large_01_plan
large_02,astar_blind,solved,,,48.542,121.379492,171.27,24,problem_outputs/astar_blind/large_02_log.txt,problem_outputs/astar_blind/large_02_plan
large_03,astar_blind,solved,,,343.666,9.462711,361.59,15,problem_outputs/astar_blind/large_03_log.txt,problem_outputs/astar_blind/large_03_plan
large_04,astar_blind,solved,,,286.469,77.515423,371.2,31,problem_outputs/astar_blind/large_04_log.txt,problem_outputs/astar_blind/large_04_plan
large_05,astar_blind,solved,,,309.665,324.110768,641.71,72,problem_outputs/astar_blind/large_05_log.txt,problem_outputs/astar_blind/large_05_plan
large_06,astar_blind,failed,search,time limit,64.509,,1865.04,,problem_outputs/astar_blind/large_06_log.txt,
large_07,astar_blind,failed,search,time limit,267.856,,2069.03,,problem_outputs/astar_blind/large_07_log.txt,
large_08,astar_blind,failed,search,time limit,40.371,,1840.89,,problem_outputs/astar_blind/large_08_log.txt,
large_09,astar_blind,failed,search,time limit,68.545,,1869.17,,problem_outputs/astar_blind/large_09_log.txt,
large_10,astar_blind,solved,,,21.526,13.536597,35.93,17,problem_outputs/astar_blind/large_10_log.txt,problem_outputs/astar_blind/large_10_plan
small_01,astar_blind,solved,,,2.1,0.002,2.49,10,problem_outputs/astar_blind/small_01_log.txt,problem_outputs/astar_blind/small_01_plan
small_02,astar_blind,solved,,,18.336,33.180123,52.3,22,problem_outputs/astar_blind/small_02_log.txt,problem_outputs/astar_blind/small_02_plan
small_03,astar_blind,solved,,,135.739,1.144964,140.67,13,problem_outputs/astar_blind/small_03_log.txt,problem_outputs/astar_blind/small_03_plan
small_04,astar_blind,solved,,,113.54,3.194774,119.98,25,problem_outputs/astar_blind/small_04_log.txt,problem_outputs/astar_blind/small_04_plan
small_05,astar_blind,solved,,,93.08,15.995574,111.8,54,problem_outputs/astar_blind/small_05_log.txt,problem_outputs/astar_blind/small_05_plan
small_06,astar_blind,solved,,,30.297,86.972878,118.48,16,problem_outputs/astar_blind/small_06_log.txt,problem_outputs/astar_blind/small_06_plan
small_07,astar_blind,failed,search,time limit,118.266,,1918.95,,problem_outputs/astar_blind/small_07_log.txt,
small_08,astar_blind,failed,search,time limit,21.716,,1822.24,,problem_outputs/astar_blind/small_08_log.txt,
small_09,astar_blind,failed,search,time limit,33.209,,1833.68,,problem_outputs/astar_blind/small_09_log.txt,
small_10,astar_blind,solved,,,11.208,1.480704,13.36,12,problem_outputs/astar_blind/small_10_log.txt,problem_outputs/astar_blind/small_10_plan
hard_01,astar_ff,failed,search,time limit,7.762,,1807.93,,problem_outputs/astar_ff/hard_01_log.txt,
hard_02,astar_ff,failed,search,time limit,40.489,,1840.58,,problem_outputs/astar_ff/hard_02_log.txt,
hard_03,astar_ff,failed,search,time limit,24.079,,1824.22,,problem_outputs/astar_ff/hard_03_log.txt,
large_01,astar_ff,solved,,,3.423,0.006531,3.69,12,problem_outputs/astar_ff/large_01_log.txt,problem_outputs/astar_ff/large_01_plan
large_02,astar_ff,solved,,,27.337,44.152147,72.48,24,problem_outputs/astar_ff/large_02_log.txt,problem_outputs/astar_ff/large_02_plan
large_03,astar_ff,solved,,,195.908,8.658242,215.63,15,problem_outputs/astar_ff/large_03_log.txt,problem_outputs/astar_ff/large_03_plan
large_04,astar_ff,solved,,,163.81,68.494458,241.76,31,problem_outputs/astar_ff/large_04_log.txt,problem_outputs/astar_ff/large_04_plan
large_05,astar_ff,solved,,,179.409,236.102081,425.84,72,problem_outputs/astar_ff/large_05_log.txt,problem_outputs/astar_ff/large_05_plan
large_06,astar_ff,failed,search,time limit,38.252,,1838.47,,problem_outputs/astar_ff/large_06_log.txt,
large_07,astar_ff,failed,search,time limit,140.972,,1940.83,,problem_outputs/astar_ff/large_07_log.txt,
large_08,astar_ff,failed,search,time limit,21.358,,1821.53,,problem_outputs/astar_ff/large_08_log.txt,
large_09,astar_ff,failed,search,time limit,37.755,,1837.89,,problem_outputs/astar_ff/large_09_log.txt,
large_10,astar_ff,solved,,,11.969,12.475211,25.05,17,problem_outputs/astar_ff/large_10_log.txt,problem_outputs/astar_ff/large_10_plan
small_01,astar_ff,solved,,,1.33,0.004537,1.73,10,problem_outputs/astar_ff/small_01_log.txt,problem_outputs/astar_ff/small_01_plan
small_02,astar_ff,solved,,,11.893,13.461186,25.93,22,problem_outputs/astar_ff/small_02_log.txt,problem_outputs/astar_ff/small_02_plan
small_03,astar_ff,solved,,,83.824,1.579573,90.36,13,problem_outputs/astar_ff/small_03_log.txt,problem_outputs/astar_ff/small_03_plan
small_04,astar_ff,solved,,,67.932,4.586562,76.64,25,problem_outputs/astar_ff/small_04_log.txt,problem_outputs/astar_ff/small_04_plan
small_05,astar_ff,solved,,,55.45,18.055215,76.93,54,problem_outputs/astar_ff/small_05_log.txt,problem_outputs/astar_ff/small_05_plan
small_06,astar_ff,solved,,,17.888,33.433672,52.32,16,problem_outputs/astar_ff/small_06_log.txt,problem_outputs/astar_ff/small_06_plan
